userName,id,rank,scorePerMinute,killsPerMinute,winPercent,killDeath,quits,accuracy,headshots,secondsPlayed,kills,deaths,wins,loses,avengerKills,saviorKills,headShots,heals,revives,repairs,resupplies,killAssists,skill,longestHeadShot,highestKillStreak
66ea5986a865a25b806a81b030ff3,2337964918,140,353,0.51,51.02,1.27,16.73,10.62,10.77,16787900,143958,113252,4622,4437,9125,5209,15509,18047,176,8997,5067,8801,366,835.43,63
f801cd992497a8d809b73a9395834,2609993185,23,290,0.34,47.19,0.63,32.58,8.38,16.99,145555,836,1330,42,47,102,79,142,462,112,59,90,122,160,429.56,8
6c848c1fb47cca988a0795ce4171e,1446393890,85,425,0.67,43.24,1.13,22.7,11.66,12.52,901288,10080,8945,240,315,1320,1410,1262,7242,679,970,8311,1410,324,398.01,30
f06a8f893bbd8622c6c00f5e3212e,586596381,48,597,0.61,46.36,0.87,19.68,13.03,17.58,249816,2559,2956,70,81,304,243,450,4566,837,513,20,307,329,152.62,9
94e8a56598ac3ce4d98f7c4126e42,468221736,140,773,1.23,50.4,1.35,33.19,15.34,17.13,3633020,74679,55354,1199,1180,8679,7663,12796,46470,19245,422,4045,7043,336,284.32,18
744e454772188768c216ba0c469e9,2418851929,114,462,0.49,50.39,0.99,28.48,15.12,11.58,1583670,12994,13070,391,385,840,680,1505,6859,1049,1253,1251,1061,352,1517.8,27
8a1c509e48259b9962f3b1abc4e41,901131405,19,293,0.29,48.0,0.52,47.92,9.01,19.16,104029,501,971,24,26,56,49,96,133,92,225,0,83,191,95.84,6
f0618cbb7b2621baf3a79907b89e5,777520420,10,228,0.38,40.91,0.7,56.0,8.89,18.01,49178,311,443,9,13,30,21,56,54,2,14,13,36,152,311.79,7
2ea957b3703042be4bf0094df8cac,2169716486,46,507,0.38,49.44,0.61,63.22,10.06,10.8,272275,1722,2839,44,45,174,157,186,1411,420,238,394,275,146,330.43,9
d51ac9887cef8338845f7de18b853,3131296397,140,618,1.23,47.31,1.41,21.35,15.26,17.33,16777200,344054,243450,3922,4368,39066,40591,59632,284851,51280,606,11448,35299,542,266.14,29
0577abc4d3f58a98976b3624afe7e,2147889970,78,503,0.72,53.85,1.57,14.95,12.66,13.55,660785,7963,5079,294,252,711,438,1079,2251,115,635,1148,488,265,319.05,24
debfec2c405edfc443bc052632efe,243509974,2,213,0.35,66.67,0.57,25.0,7.32,8.33,4158,24,42,2,1,3,1,2,6,0,9,5,4,104,29.47,3
c8f174e74767c408e15669537e2ca,3103928397,62,308,0.65,40.85,1.01,51.58,9.59,14.05,741133,8080,7990,125,181,665,661,1135,796,1465,50,981,981,185,528.47,26
